id,title,description,objectives,author,authorSrc,source,topic,duration,platform,platformSrc,language,level,label,licence,createdAt,updatedAt
c1cd6816-b243-4a17-8ac3-af6e33e584fc,Deep Learning Tutorial,"This tutorial will teach you the main ideas of Unsupervised Feature Learning and Deep Learning. By working through it, you will also get to implement several feature learning/deep learning algorithms, get to see them work for yourself, and learn how to apply/adapt these ideas to new problems.

This tutorial assumes a basic knowledge of machine learning (specifically, familiarity with the ideas of supervised learning, logistic regression, gradient descent). If you are not familiar with these ideas, we suggest you go to this Machine Learning course and complete sections II, III, IV (up to Logistic Regression) first.

Material contributed by: Andrew Ng, Jiquan Ngiam, Chuan Yu Foo, Yifan Mai, Caroline Suen, Adam Coates, Andrew Maas, Awni Hannun, Brody Huval, Tao Wang, Sameep Tandon",,"Andrew Ng,others","https://www.andrewng.org/,",http://deeplearning.stanford.edu/tutorial/,deep learning,,Stanford,http://www.stanford.edu/,"en_US,zh_CN",advanced,"machine learning,deep learning,AI",,2023-08-02T07:52:16T+082,2023-08-02T07:52:25T+082
c1983070-3d4f-4c2a-af3d-bc65b291934a,Building A Brain in 10 Minutes,This notebook explores the biological and psychological inspirations to the world's first neural networks.,"The goals of this exercise include:

- Exploring how neural networks use data to learn
- Understanding the math behind a neuron",,,https://courses.nvidia.com/courses/course-v1:DLI+T-FX-01+V1/,deep learning,10,NVIDIA,www.nvidia.com/,en_US,beginner,"data science,computer vision,deep learning",,2023-08-05T13:46:17T+085,2023-08-05T13:46:17T+085
,Machine Learning Crash Course with TensorFlow APIs,"Google's fast-paced, practical introduction to machine learning, featuring a series of lessons with video lectures, real-world case studies, and hands-on practice exercises.
",,,,https://developers.google.com/machine-learning/crash-course,machine learning,,Google,developers.google.com/,"en_US,zh_CN",beginner,"data science,machine learning,deep learning",,,
,Machine Learning for Beginners,"Azure Cloud Advocates at Microsoft are pleased to offer a 12-week, 26-lesson curriculum all about Machine Learning. In this curriculum, you will learn about what is sometimes called classic machine learning, using primarily Scikit-learn as a library and avoiding deep learning, which is covered in our forthcoming 'AI for Beginners' curriculum. Pair these lessons with our 'Data Science for Beginners' curriculum, as well!

Travel with us around the world as we apply these classic techniques to data from many areas of the world. Each lesson includes pre- and post-lesson quizzes, written instructions to complete the lesson, a solution, an assignment, and more. Our project-based pedagogy allows you to learn while building, a proven way for new skills to 'stick'.",,,,https://learn.microsoft.com/en-us/users/jenlooper-2911/collections/k7o7tg1gp306q4?WT.mc_id=academic-77952-leestott,machine learning,12,Microsoft,learn.microsoft.com/,en_US,intermediate,"data science,machine learning",,,
,Data Science for Beginners,"Azure Cloud Advocates at Microsoft are pleased to offer a 10-week, 20-lesson curriculum all about Data Science. Each lesson includes pre-lesson and post-lesson quizzes, written instructions to complete the lesson, a solution, and an assignment. Our project-based pedagogy allows you to learn while building, a proven way for new skills to 'stick'.",,,,https://learn.microsoft.com/en-us/users/jenlooper-2911/collections/qprpajyoy3x0g7?WT.mc_id=academic-77958-bethanycheum,data science,10,Microsoft,learn.microsoft.com/,en_US,beginner,"data science,data visualization,python,SQL",,,
,Practical Deep Learning,"A free course designed for people with some coding experience, who want to learn how to apply deep learning and machine learning to practical problems.",,,,https://course.fast.ai/,deep learning,,fast.ai,course.fast.ai/,en_US,advanced,"machine learning,deep learning,AI",,,
,Introduction to Deep Learning,Video Lectures from Adaptive Linear Neurons to Zero-shot Classification with Transformers,,Sebastian Raschka,,https://sebastianraschka.com/blog/2021/dl-course.html#l01-introduction-to-deep-learning,deep learning,,sebastianraschka.com,https://sebastianraschka.com/blog,en_US,intermediate,"deep learning,machine learning",,,
,Introduction to Machine Learning,"Video Lectures about Python Basics, Tree-based Methods, Model Evaluation, and Feature Selection",,Sebastian Raschka,,https://sebastianraschka.com/blog/2021/ml-course.html,machine learning,,sebastianraschka.com,https://sebastianraschka.com/blog,en_US,beginner,"machine learning,python",,,
,Neural Networks: Zero to Hero,"A course by Andrej Karpathy on building neural networks, from scratch, in code.
We start with the basics of backpropagation and build up to modern deep neural networks, like GPT. In my opinion language models are an excellent place to learn deep learning, even if your intention is to eventually go to other areas like computer vision because most of what you learn will be immediately transferable. This is why we dive into and focus on languade models.
Prerequisites: solid programming (Python), intro-level math (e.g. derivative, gaussian).
",,Andrej Karpathy,https://karpathy.ai/,https://karpathy.ai/zero-to-hero.html,deep learning,,karpathy.ai,karpathy.ai/,en_US,intermediate,"deep learning,machine learning",,,
,"Introduction to AI & ML
","We present a year-long, modern machine learning class led by UCLA students! Students will discover and explore the computational and mathematical tools behind artificial intelligence and machine learning! In a single year, they will advance from understanding simple AI models that predict weather to analyzing the complex AI systems that power self-driving cars.",,,,https://teachla.uclaacm.com/classes/ml,machine learning,,UCLA,https://teachla.uclaacm.com,en_US,beginner,"machine learning,deep learning",,,
,,,,,,,,,,,,,,,,
