Date,Paperback,Hardcover
2000-04-01,199,139
2000-04-02,172,128
2000-04-03,111,172
2000-04-04,209,139
2000-04-05,161,191
2000-04-06,119,168
2000-04-07,195,170
2000-04-08,195,145
2000-04-09,131,184
2000-04-10,183,135
2000-04-11,143,218
2000-04-12,141,198
2000-04-13,168,230
2000-04-14,201,222
2000-04-15,155,206
2000-04-16,243,240
2000-04-17,225,189
2000-04-18,167,222
2000-04-19,237,158
2000-04-20,202,178
2000-04-21,186,217
2000-04-22,176,261
2000-04-23,232,238
2000-04-24,195,240
2000-04-25,190,214
2000-04-26,182,200
2000-04-27,222,201
2000-04-28,217,283
2000-04-29,188,220
2000-04-30,247,259
