unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1.64056E+12,12-27-2021,XRP-USDT,0.92,0.9237,0.92,0.9226,2384512,2198450.377
1.64048E+12,12-26-2021,XRP-USDT,0.9252,0.9334,0.9052,0.92,163438501,149939963.3
1.64039E+12,12-25-2021,XRP-USDT,0.9114,0.935,0.8981,0.9252,250074945,230230296.4
1.6403E+12,12-24-2021,XRP-USDT,0.9941,0.9966,0.8964,0.9115,567234092,537703509.6
1.64022E+12,12-23-2021,XRP-USDT,0.9538,1.0167,0.9372,0.9941,479436230,472937211.3
1.64013E+12,12-22-2021,XRP-USDT,0.9466,0.9738,0.923,0.9537,401407051,382128111.3
1.64004E+12,12-21-2021,XRP-USDT,0.8799,0.961,0.8527,0.9467,471318013,423894867.7
1.63996E+12,12-20-2021,XRP-USDT,0.835,0.915,0.8241,0.8798,555435824,482473462.2
1.63987E+12,12-19-2021,XRP-USDT,0.8263,0.8485,0.819,0.835,163876270,136403589.9
1.63979E+12,12-18-2021,XRP-USDT,0.7967,0.8347,0.791,0.8262,170671362,139512177
1.6397E+12,12-17-2021,XRP-USDT,0.8053,0.8322,0.7754,0.7966,260108143,208935917.9
1.63961E+12,12-16-2021,XRP-USDT,0.8262,0.8364,0.8028,0.8051,206133176,169655788.9
1.63953E+12,12-15-2021,XRP-USDT,0.8102,0.84,0.777,0.8262,354116180,286906700.2
1.63944E+12,12-14-2021,XRP-USDT,0.782,0.8214,0.7717,0.8103,352693472,280765038.7
1.63935E+12,12-13-2021,XRP-USDT,0.8394,0.8444,0.7601,0.7818,378446930,303448083.7
1.63927E+12,12-12-2021,XRP-USDT,0.8391,0.8572,0.8088,0.8393,224450903,186434002.3
1.63918E+12,12-11-2021,XRP-USDT,0.7992,0.8445,0.7844,0.8392,284945414,234938185.4
1.63909E+12,12-10-2021,XRP-USDT,0.8583,0.8829,0.7914,0.7992,496512579,416778024.2
1.63901E+12,12-9-2021,XRP-USDT,0.8623,0.9361,0.8319,0.8583,684730305,605671793.5
1.63892E+12,12-8-2021,XRP-USDT,0.8154,0.8844,0.8026,0.8622,415004580,349152928.9
1.63884E+12,12-7-2021,XRP-USDT,0.8256,0.8467,0.8042,0.8154,319504545,264723351.8
1.63875E+12,12-6-2021,XRP-USDT,0.8045,0.8303,0.7485,0.8255,508644255,398532303.2
1.63866E+12,12-5-2021,XRP-USDT,0.8452,0.862,0.769,0.8045,518767360,420563233.5
1.63858E+12,12-4-2021,XRP-USDT,0.9211,0.9245,0.6,0.8449,1357965897,1041408386
1.63849E+12,12-3-2021,XRP-USDT,0.9715,0.9838,0.89,0.9211,297172193,282383780
1.6384E+12,12-2-2021,XRP-USDT,0.9898,0.9901,0.9545,0.9716,213172250,207549885.5
1.63832E+12,12-1-2021,XRP-USDT,0.9984,1.0173,0.9799,0.9899,250291608,250962193
1.63823E+12,11-30-2021,XRP-USDT,0.9899,1.0304,0.97,0.9983,340017409,339684740.2
1.63814E+12,11-29-2021,XRP-USDT,0.9687,1.0019,0.9631,0.9898,303393405,297699683.6
1.63806E+12,11-28-2021,XRP-USDT,0.9453,0.9692,0.8825,0.9687,336336729,310943922.6
1.63797E+12,11-27-2021,XRP-USDT,0.9392,0.9656,0.9336,0.9452,224846313,214040813
1.63788E+12,11-26-2021,XRP-USDT,1.0439,1.0467,0.9108,0.9394,659982617,635807297.3
1.6378E+12,11-25-2021,XRP-USDT,1.0325,1.0647,1.0215,1.0438,312211526,325685350.6
1.63771E+12,11-24-2021,XRP-USDT,1.0662,1.0735,1.0068,1.0326,344750680,356216660.8
1.63763E+12,11-23-2021,XRP-USDT,1.0354,1.0715,1.0192,1.0661,341407597,357152586.7
1.63754E+12,11-22-2021,XRP-USDT,1.0571,1.071,1.0251,1.0354,307140428,320708762.4
1.63745E+12,11-21-2021,XRP-USDT,1.0965,1.0974,1.0544,1.0569,228064131,245324674.7
1.63737E+12,11-20-2021,XRP-USDT,1.0892,1.1015,1.0594,1.0965,251779916,273011333.8
1.63728E+12,11-19-2021,XRP-USDT,1.0406,1.103,1.0174,1.0892,349087574,370490515.6
1.63719E+12,11-18-2021,XRP-USDT,1.0953,1.17,1.015,1.0406,698664651,762250060.7
1.63711E+12,11-17-2021,XRP-USDT,1.0877,1.113,1.0588,1.0953,383487232,416331389.2
1.63702E+12,11-16-2021,XRP-USDT,1.172,1.1721,1.0418,1.0877,599544174,662858882.2
1.63693E+12,11-15-2021,XRP-USDT,1.1879,1.2198,1.1651,1.172,266793400,319547494.9
1.63685E+12,11-14-2021,XRP-USDT,1.1894,1.1995,1.1675,1.1879,192023307,227345320.6
1.63676E+12,11-13-2021,XRP-USDT,1.1884,1.2039,1.167,1.1892,240083101,284873053.1
1.63668E+12,11-12-2021,XRP-USDT,1.2142,1.2332,1.1542,1.1883,446863355,531437316.6
1.63659E+12,11-11-2021,XRP-USDT,1.1902,1.2544,1.1764,1.2142,475284132,577096707.4
1.6365E+12,11-10-2021,XRP-USDT,1.2572,1.3493,1.1174,1.1902,932520826,1175404693
1.63642E+12,11-9-2021,XRP-USDT,1.2815,1.2884,1.2245,1.2571,465127517,584938595.7
1.63633E+12,11-8-2021,XRP-USDT,1.2198,1.296,1.2192,1.2815,606055941,766012117.3
1.63624E+12,11-7-2021,XRP-USDT,1.1511,1.2374,1.1451,1.2198,371235010,444359161.9
1.63616E+12,11-6-2021,XRP-USDT,1.1581,1.1828,1.1,1.151,260339849,297442023.9
1.63607E+12,11-5-2021,XRP-USDT,1.2004,1.2015,1.1311,1.1581,318649692,372181223.3
1.63598E+12,11-4-2021,XRP-USDT,1.21,1.2574,1.1604,1.2004,553456246,666720493.4
1.6359E+12,11-3-2021,XRP-USDT,1.1348,1.2363,1.1255,1.2101,838803472,995581269.7
1.63581E+12,11-2-2021,XRP-USDT,1.0916,1.1468,1.0851,1.1349,398377412,444398509.3
1.63572E+12,11-1-2021,XRP-USDT,1.1128,1.1321,1.069,1.0915,381430430,417467396.3
1.63564E+12,10-31-2021,XRP-USDT,1.0845,1.1544,1.0689,1.1128,659007943,727992493.5
1.63555E+12,10-30-2021,XRP-USDT,1.0825,1.1169,1.0611,1.0846,372223050,403826768.2
1.63547E+12,10-29-2021,XRP-USDT,1.058,1.0903,1.0409,1.0825,357777322,383066388.5
1.63538E+12,10-28-2021,XRP-USDT,0.9951,1.0816,0.981,1.0579,686113717,714218398.5
1.63529E+12,10-27-2021,XRP-USDT,1.1076,1.1248,0.9483,0.995,914728059,948155132.4
1.63521E+12,10-26-2021,XRP-USDT,1.0951,1.1606,1.0905,1.1075,439499263,491588833.5
1.63512E+12,10-25-2021,XRP-USDT,1.0821,1.1034,1.0778,1.0951,218666074,238965157.4
1.63503E+12,10-24-2021,XRP-USDT,1.0935,1.0961,1.0522,1.0821,234286648,253010407.3
1.63495E+12,10-23-2021,XRP-USDT,1.0885,1.1018,1.0763,1.0934,189644449,206632213.9
1.63486E+12,10-22-2021,XRP-USDT,1.0885,1.1288,1.0739,1.0885,333619107,366473886.9
1.63477E+12,10-21-2021,XRP-USDT,1.1451,1.164,1.0851,1.0886,442288500,498949022.3
1.63469E+12,10-20-2021,XRP-USDT,1.0911,1.1529,1.0868,1.1455,346122480,388488239.3
1.6346E+12,10-19-2021,XRP-USDT,1.0827,1.1009,1.0661,1.0911,235324664,255777828.1
1.63452E+12,10-18-2021,XRP-USDT,1.0943,1.1064,1.0642,1.0827,321174243,349574306.2
1.63443E+12,10-17-2021,XRP-USDT,1.1343,1.1407,1.0172,1.0944,384414867,422600928.3
1.63434E+12,10-16-2021,XRP-USDT,1.1415,1.1869,1.13,1.1343,339530696,390396344.3
1.63426E+12,10-15-2021,XRP-USDT,1.1335,1.1656,1.0914,1.1413,573654581,648102623.4
1.63417E+12,10-14-2021,XRP-USDT,1.1277,1.16,1.1174,1.1336,353714419,400855761.6
1.63408E+12,10-13-2021,XRP-USDT,1.1017,1.1387,1.075,1.1275,403291632,444999640.5
1.634E+12,10-12-2021,XRP-USDT,1.1363,1.1364,1.0634,1.1018,455399313,498806214.9
1.63391E+12,10-11-2021,XRP-USDT,1.1352,1.182,1.1017,1.1364,429676031,493219103.8
1.63382E+12,10-10-2021,XRP-USDT,1.1604,1.23,1.1262,1.1352,647048690,763401930.3
1.63374E+12,10-9-2021,XRP-USDT,1.0636,1.2089,1.0565,1.1604,678027224.7,774368159.2
1.63365E+12,10-8-2021,XRP-USDT,1.0677,1.0927,1.0539,1.0636,335486636,359658964.1
1.63356E+12,10-7-2021,XRP-USDT,1.0766,1.0942,1.0423,1.0678,410868906,440046088.4
1.63348E+12,10-6-2021,XRP-USDT,1.084,1.1081,1.0171,1.0765,509214129,543208784.7
1.63339E+12,10-5-2021,XRP-USDT,1.0429,1.088,1.038,1.0839,429469278,456101439.4
1.63331E+12,10-4-2021,XRP-USDT,1.0552,1.0596,1.0059,1.0425,416467677,431530625.4
1.63322E+12,10-3-2021,XRP-USDT,1.0359,1.0884,1.021,1.0552,410176280,433656250.2
1.63313E+12,10-2-2021,XRP-USDT,1.0422,1.0733,1.0079,1.0359,398398944,413036443.7
