MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
125.0,256.0,6000.0,256.0,16.0,128.0,198.0
29.0,8000.0,32000.0,32.0,8.0,32.0,269.0
29.0,8000.0,32000.0,32.0,8.0,32.0,220.0
29.0,8000.0,32000.0,32.0,8.0,32.0,172.0
29.0,8000.0,16000.0,32.0,8.0,16.0,132.0
26.0,8000.0,32000.0,64.0,8.0,32.0,318.0
23.0,16000.0,32000.0,64.0,16.0,32.0,367.0
23.0,16000.0,32000.0,64.0,16.0,32.0,489.0
23.0,16000.0,64000.0,64.0,16.0,32.0,636.0
23.0,32000.0,64000.0,128.0,32.0,64.0,1144.0
400.0,1000.0,3000.0,0.0,1.0,2.0,38.0
400.0,512.0,3500.0,4.0,1.0,6.0,40.0
60.0,2000.0,8000.0,65.0,1.0,8.0,92.0
50.0,4000.0,16000.0,65.0,1.0,8.0,138.0
350.0,64.0,64.0,0.0,1.0,4.0,10.0
200.0,512.0,16000.0,0.0,4.0,32.0,35.0
167.0,524.0,2000.0,8.0,4.0,15.0,19.0
143.0,512.0,5000.0,0.0,7.0,32.0,28.0
143.0,1000.0,2000.0,0.0,5.0,16.0,31.0
110.0,5000.0,5000.0,142.0,8.0,64.0,120.0
143.0,1500.0,6300.0,0.0,5.0,32.0,30.0
143.0,3100.0,6200.0,0.0,5.0,20.0,33.0
143.0,2300.0,6200.0,0.0,6.0,64.0,61.0
110.0,3100.0,6200.0,0.0,6.0,64.0,76.0
320.0,128.0,6000.0,0.0,1.0,12.0,23.0
320.0,512.0,2000.0,4.0,1.0,3.0,69.0
320.0,256.0,6000.0,0.0,1.0,6.0,33.0
320.0,256.0,3000.0,4.0,1.0,3.0,27.0
320.0,512.0,5000.0,4.0,1.0,5.0,77.0
320.0,256.0,5000.0,4.0,1.0,6.0,27.0
25.0,1310.0,2620.0,131.0,12.0,24.0,274.0
25.0,1310.0,2620.0,131.0,12.0,24.0,368.0
50.0,2620.0,10480.0,30.0,12.0,24.0,32.0
50.0,2620.0,10480.0,30.0,12.0,24.0,63.0
56.0,5240.0,20970.0,30.0,12.0,24.0,106.0
64.0,5240.0,20970.0,30.0,12.0,24.0,208.0
50.0,500.0,2000.0,8.0,1.0,4.0,20.0
50.0,1000.0,4000.0,8.0,1.0,5.0,29.0
50.0,2000.0,8000.0,8.0,1.0,5.0,71.0
50.0,1000.0,4000.0,8.0,3.0,5.0,26.0
50.0,1000.0,8000.0,8.0,3.0,5.0,36.0
50.0,2000.0,16000.0,8.0,3.0,5.0,40.0
50.0,2000.0,16000.0,8.0,3.0,6.0,52.0
50.0,2000.0,16000.0,8.0,3.0,6.0,60.0
133.0,1000.0,12000.0,9.0,3.0,12.0,72.0
133.0,1000.0,8000.0,9.0,3.0,12.0,72.0
810.0,512.0,512.0,8.0,1.0,1.0,18.0
810.0,1000.0,5000.0,0.0,1.0,1.0,20.0
320.0,512.0,8000.0,4.0,1.0,5.0,40.0
200.0,512.0,8000.0,8.0,1.0,8.0,62.0
700.0,384.0,8000.0,0.0,1.0,1.0,24.0
700.0,256.0,2000.0,0.0,1.0,1.0,24.0
140.0,1000.0,16000.0,16.0,1.0,3.0,138.0
200.0,1000.0,8000.0,0.0,1.0,2.0,36.0
110.0,1000.0,4000.0,16.0,1.0,2.0,26.0
110.0,1000.0,12000.0,16.0,1.0,2.0,60.0
220.0,1000.0,8000.0,16.0,1.0,2.0,71.0
800.0,256.0,8000.0,0.0,1.0,4.0,12.0
800.0,256.0,8000.0,0.0,1.0,4.0,14.0
800.0,256.0,8000.0,0.0,1.0,4.0,20.0
800.0,256.0,8000.0,0.0,1.0,4.0,16.0
800.0,256.0,8000.0,0.0,1.0,4.0,22.0
125.0,512.0,1000.0,0.0,8.0,20.0,36.0
75.0,2000.0,8000.0,64.0,1.0,38.0,144.0
75.0,2000.0,16000.0,64.0,1.0,38.0,144.0
75.0,2000.0,16000.0,128.0,1.0,38.0,259.0
90.0,256.0,1000.0,0.0,3.0,10.0,17.0
105.0,256.0,2000.0,0.0,3.0,10.0,26.0
105.0,1000.0,4000.0,0.0,3.0,24.0,32.0
105.0,2000.0,4000.0,8.0,3.0,19.0,32.0
75.0,2000.0,8000.0,8.0,3.0,24.0,62.0
75.0,3000.0,8000.0,8.0,3.0,48.0,64.0
175.0,256.0,2000.0,0.0,3.0,24.0,22.0
300.0,768.0,3000.0,0.0,6.0,24.0,36.0
300.0,768.0,3000.0,6.0,6.0,24.0,44.0
300.0,768.0,12000.0,6.0,6.0,24.0,50.0
300.0,768.0,4500.0,0.0,1.0,24.0,45.0
300.0,384.0,12000.0,6.0,1.0,24.0,53.0
300.0,192.0,768.0,6.0,6.0,24.0,36.0
180.0,768.0,12000.0,6.0,1.0,31.0,84.0
330.0,1000.0,3000.0,0.0,2.0,4.0,16.0
300.0,1000.0,4000.0,8.0,3.0,64.0,38.0
300.0,1000.0,16000.0,8.0,2.0,112.0,38.0
330.0,1000.0,2000.0,0.0,1.0,2.0,16.0
330.0,1000.0,4000.0,0.0,3.0,6.0,22.0
140.0,2000.0,4000.0,0.0,3.0,6.0,29.0
140.0,2000.0,4000.0,0.0,4.0,8.0,40.0
140.0,2000.0,4000.0,8.0,1.0,20.0,35.0
140.0,2000.0,32000.0,32.0,1.0,20.0,134.0
140.0,2000.0,8000.0,32.0,1.0,54.0,66.0
140.0,2000.0,32000.0,32.0,1.0,54.0,141.0
140.0,2000.0,32000.0,32.0,1.0,54.0,189.0
140.0,2000.0,4000.0,8.0,1.0,20.0,22.0
57.0,4000.0,16000.0,1.0,6.0,12.0,132.0
57.0,4000.0,24000.0,64.0,12.0,16.0,237.0
26.0,16000.0,32000.0,64.0,16.0,24.0,465.0
26.0,16000.0,32000.0,64.0,8.0,24.0,465.0
26.0,8000.0,32000.0,0.0,8.0,24.0,277.0
26.0,8000.0,16000.0,0.0,8.0,16.0,185.0
480.0,96.0,512.0,0.0,1.0,1.0,6.0
203.0,1000.0,2000.0,0.0,1.0,5.0,24.0
115.0,512.0,6000.0,16.0,1.0,6.0,45.0
1100.0,512.0,1500.0,0.0,1.0,1.0,7.0
1100.0,768.0,2000.0,0.0,1.0,1.0,13.0
600.0,768.0,2000.0,0.0,1.0,1.0,16.0
400.0,2000.0,4000.0,0.0,1.0,1.0,32.0
400.0,4000.0,8000.0,0.0,1.0,1.0,32.0
900.0,1000.0,1000.0,0.0,1.0,2.0,11.0
900.0,512.0,1000.0,0.0,1.0,2.0,11.0
900.0,1000.0,4000.0,4.0,1.0,2.0,18.0
900.0,1000.0,4000.0,8.0,1.0,2.0,22.0
900.0,2000.0,4000.0,0.0,3.0,6.0,37.0
225.0,2000.0,4000.0,8.0,3.0,6.0,40.0
225.0,2000.0,4000.0,8.0,3.0,6.0,34.0
180.0,2000.0,8000.0,8.0,1.0,6.0,50.0
185.0,2000.0,16000.0,16.0,1.0,6.0,76.0
180.0,2000.0,16000.0,16.0,1.0,6.0,66.0
225.0,1000.0,4000.0,2.0,3.0,6.0,24.0
25.0,2000.0,12000.0,8.0,1.0,4.0,49.0
25.0,2000.0,12000.0,16.0,3.0,5.0,66.0
17.0,4000.0,16000.0,8.0,6.0,12.0,100.0
17.0,4000.0,16000.0,32.0,6.0,12.0,133.0
1500.0,768.0,1000.0,0.0,0.0,0.0,12.0
1500.0,768.0,2000.0,0.0,0.0,0.0,18.0
800.0,768.0,2000.0,0.0,0.0,0.0,20.0
50.0,2000.0,4000.0,0.0,3.0,6.0,27.0
50.0,2000.0,8000.0,8.0,3.0,6.0,45.0
50.0,2000.0,8000.0,8.0,1.0,6.0,56.0
50.0,2000.0,16000.0,24.0,1.0,6.0,70.0
50.0,2000.0,16000.0,24.0,1.0,6.0,80.0
50.0,8000.0,16000.0,48.0,1.0,10.0,136.0
100.0,1000.0,8000.0,0.0,2.0,6.0,16.0
100.0,1000.0,8000.0,24.0,2.0,6.0,26.0
100.0,1000.0,8000.0,24.0,3.0,6.0,32.0
50.0,2000.0,16000.0,12.0,3.0,16.0,45.0
50.0,2000.0,16000.0,24.0,6.0,16.0,54.0
50.0,2000.0,16000.0,24.0,6.0,16.0,65.0
150.0,512.0,4000.0,0.0,8.0,128.0,30.0
115.0,2000.0,8000.0,16.0,1.0,3.0,50.0
115.0,2000.0,4000.0,2.0,1.0,5.0,40.0
92.0,2000.0,8000.0,32.0,1.0,6.0,62.0
92.0,2000.0,8000.0,32.0,1.0,6.0,60.0
92.0,2000.0,8000.0,4.0,1.0,6.0,50.0
75.0,4000.0,16000.0,16.0,1.0,6.0,66.0
60.0,4000.0,16000.0,32.0,1.0,6.0,86.0
60.0,2000.0,16000.0,64.0,5.0,8.0,74.0
60.0,4000.0,16000.0,64.0,5.0,8.0,93.0
50.0,4000.0,16000.0,64.0,5.0,10.0,111.0
72.0,4000.0,16000.0,64.0,8.0,16.0,143.0
72.0,2000.0,8000.0,16.0,6.0,8.0,105.0
40.0,8000.0,16000.0,32.0,8.0,16.0,214.0
40.0,8000.0,32000.0,64.0,8.0,24.0,277.0
35.0,8000.0,32000.0,64.0,8.0,24.0,370.0
38.0,16000.0,32000.0,128.0,16.0,32.0,510.0
48.0,4000.0,24000.0,32.0,8.0,24.0,214.0
38.0,8000.0,32000.0,64.0,8.0,24.0,326.0
30.0,16000.0,32000.0,256.0,16.0,24.0,510.0
112.0,1000.0,1000.0,0.0,1.0,4.0,8.0
84.0,1000.0,2000.0,0.0,1.0,6.0,12.0
56.0,1000.0,4000.0,0.0,1.0,6.0,17.0
56.0,2000.0,6000.0,0.0,1.0,8.0,21.0
56.0,2000.0,8000.0,0.0,1.0,8.0,24.0
56.0,4000.0,8000.0,0.0,1.0,8.0,34.0
56.0,4000.0,12000.0,0.0,1.0,8.0,42.0
56.0,4000.0,16000.0,0.0,1.0,8.0,46.0
38.0,4000.0,8000.0,32.0,16.0,32.0,51.0
38.0,4000.0,8000.0,32.0,16.0,32.0,116.0
38.0,8000.0,16000.0,64.0,4.0,8.0,100.0
38.0,8000.0,24000.0,160.0,4.0,8.0,140.0
38.0,4000.0,16000.0,128.0,16.0,32.0,212.0
200.0,1000.0,2000.0,0.0,1.0,2.0,25.0
200.0,1000.0,4000.0,0.0,1.0,4.0,30.0
200.0,2000.0,8000.0,64.0,1.0,5.0,41.0
250.0,512.0,4000.0,0.0,1.0,7.0,25.0
250.0,512.0,4000.0,0.0,4.0,7.0,50.0
250.0,1000.0,16000.0,1.0,1.0,8.0,50.0
160.0,512.0,4000.0,2.0,1.0,5.0,30.0
160.0,512.0,2000.0,2.0,3.0,8.0,32.0
160.0,1000.0,4000.0,8.0,1.0,14.0,38.0
160.0,1000.0,8000.0,16.0,1.0,14.0,60.0
160.0,2000.0,8000.0,32.0,1.0,13.0,109.0
240.0,512.0,1000.0,8.0,1.0,3.0,6.0
240.0,512.0,2000.0,8.0,1.0,5.0,11.0
105.0,2000.0,4000.0,8.0,3.0,8.0,22.0
105.0,2000.0,6000.0,16.0,6.0,16.0,33.0
105.0,2000.0,8000.0,16.0,4.0,14.0,58.0
52.0,4000.0,16000.0,32.0,4.0,12.0,130.0
70.0,4000.0,12000.0,8.0,6.0,8.0,75.0
59.0,4000.0,12000.0,32.0,6.0,12.0,113.0
59.0,8000.0,16000.0,64.0,12.0,24.0,188.0
26.0,8000.0,24000.0,32.0,8.0,16.0,173.0
26.0,8000.0,32000.0,64.0,12.0,16.0,248.0
26.0,8000.0,32000.0,128.0,24.0,32.0,405.0
116.0,2000.0,8000.0,32.0,5.0,28.0,70.0
50.0,2000.0,32000.0,24.0,6.0,26.0,114.0
50.0,2000.0,32000.0,48.0,26.0,52.0,208.0
50.0,2000.0,32000.0,112.0,52.0,104.0,307.0
50.0,4000.0,32000.0,112.0,52.0,104.0,397.0
30.0,8000.0,64000.0,96.0,12.0,176.0,915.0
30.0,8000.0,64000.0,128.0,12.0,176.0,1150.0
180.0,262.0,4000.0,0.0,1.0,3.0,12.0
180.0,512.0,4000.0,0.0,1.0,3.0,14.0
180.0,262.0,4000.0,0.0,1.0,3.0,18.0
180.0,512.0,4000.0,0.0,1.0,3.0,21.0
124.0,1000.0,8000.0,0.0,1.0,8.0,42.0
98.0,1000.0,8000.0,32.0,2.0,8.0,46.0
125.0,2000.0,8000.0,0.0,2.0,14.0,52.0
480.0,512.0,8000.0,32.0,0.0,0.0,67.0
480.0,1000.0,4000.0,0.0,0.0,0.0,45.0
