Day,NumVehicles
2003-11-01,103536
2003-11-02,92051
2003-11-03,100795
2003-11-04,102352
2003-11-05,106569
2003-11-06,106284
2003-11-07,113111
2003-11-08,96806
2003-11-09,86811
2003-11-10,99194
2003-11-11,102253
2003-11-12,105707
2003-11-13,107011
2003-11-14,113588
2003-11-15,97066
2003-11-16,83848
2003-11-17,99770
2003-11-18,102281
2003-11-19,104951
2003-11-20,108397
2003-11-21,115567
2003-11-22,99758
2003-11-23,88487
2003-11-24,102773
2003-11-25,107040
2003-11-26,108092
2003-11-27,109490
2003-11-28,115048
2003-11-29,101161
2003-11-30,90733
2003-12-01,101716
2003-12-02,102497
2003-12-03,108085
2003-12-04,108811
2003-12-05,113805
2003-12-06,94656
2003-12-07,85336
2003-12-08,104140
2003-12-09,105500
2003-12-10,106046
2003-12-11,111200
2003-12-12,114801
2003-12-13,97659
2003-12-14,85532
2003-12-15,102585
2003-12-16,103496
2003-12-17,110116
2003-12-18,110804
2003-12-19,115991
2003-12-20,98807
2003-12-21,78903
2003-12-22,95771
2003-12-23,94262
2003-12-24,85453
2003-12-25,79812
2003-12-26,79697
2003-12-27,88279
2003-12-28,73671
2003-12-29,85261
2003-12-30,84747
2003-12-31,69097
2004-01-01,53098
2004-01-02,62895
2004-01-03,86079
2004-01-04,70426
2004-01-05,85305
2004-01-06,88929
2004-01-07,93399
2004-01-08,94986
2004-01-09,103527
2004-01-10,89082
2004-01-11,74378
2004-01-12,93447
2004-01-13,96083
2004-01-14,101949
2004-01-15,101859
2004-01-16,107845
2004-01-17,88817
2004-01-18,75774
2004-01-19,97604
2004-01-20,94226
2004-01-21,102939
2004-01-22,105527
2004-01-23,113448
2004-01-24,95411
2004-01-25,76837
2004-01-26,91946
2004-01-27,85353
2004-01-28,91359
2004-01-29,86544
2004-01-30,105640
2004-01-31,92171
2004-02-01,80610
2004-02-02,94744
2004-02-03,96471
2004-02-04,100312
2004-02-05,101446
2004-02-06,110229
2004-02-07,93996
2004-02-08,71021
2004-02-09,93971
2004-02-10,97976
2004-02-11,97897
2004-02-12,102504
2004-02-13,109063
2004-02-14,94801
2004-02-15,80870
2004-02-16,97986
2004-02-17,102483
2004-02-18,102183
2004-02-19,106061
2004-02-20,115648
2004-02-21,102771
2004-02-22,84360
2004-02-23,88331
2004-02-24,94749
2004-02-25,104769
2004-02-26,103626
2004-02-27,115352
2004-02-28,106147
2004-02-29,87204
2004-03-01,101010
2004-03-02,99848
2004-03-03,106266
2004-03-04,108204
2004-03-05,114861
2004-03-06,107211
2004-03-07,88627
2004-03-08,101613
2004-03-09,104557
2004-03-10,106943
2004-03-11,107516
2004-03-12,118280
2004-03-13,104538
2004-03-14,87602
2004-03-15,100617
2004-03-16,104013
2004-03-17,109856
2004-03-18,108294
2004-03-19,115030
2004-03-20,103035
2004-03-21,88306
2004-03-22,101895
2004-03-23,104498
2004-03-24,106992
2004-03-25,110311
2004-03-26,119509
2004-03-27,107610
2004-03-28,93377
2004-03-29,106440
2004-03-30,107497
2004-03-31,112579
2004-04-01,112039
2004-04-02,118536
2004-04-03,106769
2004-04-04,90149
2004-04-05,107382
2004-04-06,109815
2004-04-07,115853
2004-04-08,118665
2004-04-09,81981
2004-04-10,89445
2004-04-11,85947
2004-04-12,77578
2004-04-13,106787
2004-04-14,78507
2004-04-15,98904
2004-04-16,112033
2004-04-17,99020
2004-04-18,87171
2004-04-19,103383
2004-04-20,105724
2004-04-21,109132
2004-04-22,109921
2004-04-23,113525
2004-04-24,99976
2004-04-25,89964
2004-04-26,103502
2004-04-27,105079
2004-04-28,108907
2004-04-29,108459
2004-04-30,117628
2004-05-01,100073
2004-05-02,93067
2004-05-03,102423
2004-05-04,105466
2004-05-05,108400
2004-05-06,109673
2004-05-07,115044
2004-05-08,103755
2004-05-09,91948
2004-05-10,103312
2004-05-11,105942
2004-05-12,109693
2004-05-13,108975
2004-05-14,117470
2004-05-15,102822
2004-05-16,93955
2004-05-17,101511
2004-05-18,105379
2004-05-19,118356
2004-05-20,84766
2004-05-21,99979
2004-05-22,93063
2004-05-23,93867
2004-05-24,104688
2004-05-25,105479
2004-05-26,108257
2004-05-27,111329
2004-05-28,121513
2004-05-29,102222
2004-05-30,84476
2004-05-31,81597
2004-06-01,106469
2004-06-02,113571
2004-06-03,109995
2004-06-04,116871
2004-06-05,108218
2004-06-06,93682
2004-06-07,103733
2004-06-08,104821
2004-06-09,110010
2004-06-10,103267
2004-06-11,115401
2004-06-12,99566
2004-06-13,89032
2004-06-14,103685
2004-06-15,106686
2004-06-16,109912
2004-06-17,110514
2004-06-18,120484
2004-06-19,102527
2004-06-20,90057
2004-06-21,103136
2004-06-22,95408
2004-06-23,108925
2004-06-24,112258
2004-06-25,119767
2004-06-26,102811
2004-06-27,93380
2004-06-28,106979
2004-06-29,108257
2004-06-30,111202
2004-07-01,114077
2004-07-02,120623
2004-07-03,103581
2004-07-04,93136
2004-07-05,106387
2004-07-06,105236
2004-07-07,108627
2004-07-08,109238
2004-07-09,115837
2004-07-10,96114
2004-07-11,86720
2004-07-12,100565
2004-07-13,102154
2004-07-14,104933
2004-07-15,106651
2004-07-16,111294
2004-07-17,92630
2004-07-18,83477
2004-07-19,98319
2004-07-20,96499
2004-07-21,100800
2004-07-22,101011
2004-07-23,107933
2004-07-24,90920
2004-07-25,84247
2004-07-26,97542
2004-07-27,98893
2004-07-28,103401
2004-07-29,106127
2004-07-30,111487
2004-07-31,92582
2004-08-01,77964
2004-08-02,102841
2004-08-03,101146
2004-08-04,106045
2004-08-05,109784
2004-08-06,121901
2004-08-07,102211
2004-08-08,96986
2004-08-09,105725
2004-08-10,107870
2004-08-11,113653
2004-08-12,114267
2004-08-13,122277
2004-08-14,104698
2004-08-15,95419
2004-08-16,109242
2004-08-17,111144
2004-08-18,115260
2004-08-19,115954
2004-08-20,124403
2004-08-21,106952
2004-08-22,97599
2004-08-23,110270
2004-08-24,109962
2004-08-25,116264
2004-08-26,117794
2004-08-27,125895
2004-08-28,110708
2004-08-29,98450
2004-08-30,109557
2004-08-31,112652
2004-09-01,116694
2004-09-02,118102
2004-09-03,127753
2004-09-04,114241
2004-09-05,107292
2004-09-06,112399
2004-09-07,112754
2004-09-08,116836
2004-09-09,117459
2004-09-10,124446
2004-09-11,106424
2004-09-12,96428
2004-09-13,110455
2004-09-14,111297
2004-09-15,115429
2004-09-16,117379
2004-09-17,126060
2004-09-18,108396
2004-09-19,94600
2004-09-20,110453
2004-09-21,111235
2004-09-22,115786
2004-09-23,116325
2004-09-24,125499
2004-09-25,108943
2004-09-26,95014
2004-09-27,109457
2004-09-28,110607
2004-09-29,113489
2004-09-30,115233
2004-10-01,123690
2004-10-02,107136
2004-10-03,96202
2004-10-04,108771
2004-10-05,110697
2004-10-06,112265
2004-10-07,114622
2004-10-08,121097
2004-10-09,103108
2004-10-10,90222
2004-10-11,110364
2004-10-12,112331
2004-10-13,116902
2004-10-14,118468
2004-10-15,124538
2004-10-16,104944
2004-10-17,90597
2004-10-18,110163
2004-10-19,110928
2004-10-20,115333
2004-10-21,116896
2004-10-22,124059
2004-10-23,104903
2004-10-24,94564
2004-10-25,110952
2004-10-26,113071
2004-10-27,118935
2004-10-28,120356
2004-10-29,129619
2004-10-30,110459
2004-10-31,95837
2004-11-01,114727
2004-11-02,111004
2004-11-03,115475
2004-11-04,116164
2004-11-05,122436
2004-11-06,102051
2004-11-07,89408
2004-11-08,109257
2004-11-09,109222
2004-11-10,114327
2004-11-11,115775
2004-11-12,121941
2004-11-13,98781
2004-11-14,91683
2004-11-15,110950
2004-11-16,111251
2004-11-17,114939
2004-11-18,118060
2004-11-19,121682
2004-11-20,99110
2004-11-21,88473
2004-11-22,109773
2004-11-23,110716
2004-11-24,114749
2004-11-25,119085
2004-11-26,126006
2004-11-27,105812
2004-11-28,92743
2004-11-29,110123
2004-11-30,112114
2004-12-01,115702
2004-12-02,117914
2004-12-03,123787
2004-12-04,102930
2004-12-05,92930
2004-12-06,110077
2004-12-07,113405
2004-12-08,118597
2004-12-09,118173
2004-12-10,123042
2004-12-11,101572
2004-12-12,90986
2004-12-13,110925
2004-12-14,112880
2004-12-15,118018
2004-12-16,119937
2004-12-17,124286
2004-12-18,99785
2004-12-19,83675
2004-12-20,106888
2004-12-21,112024
2004-12-22,115584
2004-12-23,113159
2004-12-24,96327
2004-12-25,91214
2004-12-26,89976
2004-12-27,92187
2004-12-28,92113
2004-12-29,94076
2004-12-30,96067
2004-12-31,77596
2005-01-01,67960
2005-01-02,83327
2005-01-03,91821
2005-01-04,94312
2005-01-05,100961
2005-01-06,102582
2005-01-07,109537
2005-01-08,96266
2005-01-09,81751
2005-01-10,101816
2005-01-11,104401
2005-01-12,108275
2005-01-13,110258
2005-01-14,117427
2005-01-15,94823
2005-01-16,82146
2005-01-17,106252
2005-01-18,106606
2005-01-19,107055
2005-01-20,110016
2005-01-21,117858
2005-01-22,95417
2005-01-23,77919
2005-01-24,93752
2005-01-25,98867
2005-01-26,105962
2005-01-27,108724
2005-01-28,116543
2005-01-29,98505
2005-01-30,78339
2005-01-31,101919
2005-02-01,98135
2005-02-02,101917
2005-02-03,106061
2005-02-04,116148
2005-02-05,102001
2005-02-06,77231
2005-02-07,100356
2005-02-08,102958
2005-02-09,105418
2005-02-10,107589
2005-02-11,116802
2005-02-12,103630
2005-02-13,76094
2005-02-14,97551
2005-02-15,96739
2005-02-16,100696
2005-02-17,107179
2005-02-18,115357
