Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2010-10-18,165.0,165.19,161.82,163.56,6331300,3.7702967913329584,164.38359358266592,149.3024064173341,164.64,155.53,155.17,153.03,158.42,159.07599999999988,157.65,156.84300000000002,142.81059999999997,130.5,160.21559522989733,160.21559522989733,160.21559522989733,160.21559522989733,160.21559522989733,4.679086866311081,4.963020940488445,4.431467901551757,32.44571379250245,1333.3333333333335,5.257738593217078,66.59444757118162,-11.82015953589555,88.17984046410446,0.02792407224186533,-6837803.999999899,77621737.99999994,2010-10-18,18,0,291,42,0,0,0,0,0,0,0,2010,10,46.36,46.53,45.56,44.98,45.334999999999965,44.828,42.630200000000066,1184.71,1176.19,1165.32,11143.69,11062.78,11010.34,158.67
2010-10-19,160.68,162.8,157.0,158.67,7525000,3.501162213052113,164.24232442610423,150.23767557389579,163.56,164.64,155.53,156.48,165.0,159.51399999999987,157.43,157.24,143.40739999999997,130.62384999999998,159.70039681993157,159.70039681993157,159.70039681993157,159.70039681993157,159.70039681993157,4.407798091890072,4.851976370768771,4.583505908583774,31.255258007222636,1333.3333333333335,-1.3675638714490066,57.93979488512616,-47.28063814358241,52.71936185641759,0.03313468835854802,-36797250.00000011,59748499.999999985,2010-10-19,19,1,292,42,0,0,0,0,0,0,0,2010,10,45.93,46.36,46.53,45.28,45.43999999999997,44.9185,42.69980000000007,1165.9,1184.71,1169.77,10978.62,11143.69,11020.4,158.67
2010-10-20,158.78,159.87,156.57,158.67,5790400,3.2714242834129523,164.12484856682593,151.0391514331741,158.67,163.56,164.64,155.17,160.68,160.21399999999988,157.757,157.58200000000002,143.9808,130.74374999999998,159.3569312132877,159.3569312132877,159.3569312132877,159.3569312132877,159.3569312132877,4.1450185895158995,4.710584814518197,4.4918269151135055,30.021764089107055,1333.3333333333333,2.1042471042470927,57.939794885126176,-47.28063814358241,52.71936185641759,0.0326103174011085,0.0,39606335.99999986,2010-10-20,20,2,293,42,0,0,0,0,0,0,0,2010,10,46.26,45.93,46.36,45.66,45.61699999999997,45.0315,42.78340000000007,1178.17,1165.9,1178.1,11107.97,10978.62,11096.08,164.97
2010-10-21,162.67,166.13,161.29,164.97,13482500,3.4655304143276795,165.11906082865536,151.25693917134467,158.67,158.67,163.56,155.53,158.78,162.1019999999999,158.627,158.18800000000002,144.76239999999999,130.90734999999998,161.2279541421918,161.2279541421918,161.2279541421918,161.2279541421918,161.2279541421918,4.394464636493211,4.6473607789132,4.703839278319684,30.076643297615465,1333.3333333333333,5.567287387214429,64.77911517928312,-7.875084860828224,92.12491513917178,0.03598569943382801,84939750.00000015,163407900.00000006,2010-10-21,21,3,294,42,0,0,0,0,0,0,0,2010,10,46.35,46.26,45.93,45.56,45.78699999999997,45.15,42.891800000000075,1180.26,1178.17,1173.81,11146.57,11107.97,11094.57,169.13
2010-10-22,162.45,170.17,162.27,169.13,16318400,4.217293469812701,167.0425869396254,150.1734130603746,164.97,158.67,158.67,164.64,162.67,162.9999999999999,159.985,158.608,145.61379999999997,131.10299999999998,163.86196942812788,163.86196942812788,163.86196942812788,163.86196942812788,163.86196942812788,4.871672056358733,4.692223034402307,4.9321364727254196,30.71858806527135,1333.3333333333333,8.730311796849877,68.42966448408887,-5.540756526371833,94.45924347362816,0.0273276575993864,67884543.99999994,137074560.0000001,2010-10-22,22,4,295,42,0,0,0,0,0,0,0,2010,10,46.67,46.35,46.26,46.53,45.95799999999998,45.2395,43.013000000000076,1183.08,1180.26,1176.19,11132.56,11146.57,11062.78,169.0
2010-10-25,171.57,171.99,168.32,169.0,6530900,4.816101803216568,168.72170360643315,149.45729639356688,169.13,164.97,158.67,163.56,162.45,164.08799999999988,161.58200000000002,159.08950000000002,146.49999999999997,131.2804,165.5746462854186,165.5746462854186,165.5746462854186,165.5746462854186,165.5746462854186,5.179664512876059,4.789711330097058,4.8419838675307485,31.55328118788318,1333.3333333333335,10.435862249232176,68.1918026122022,-14.521612433220051,85.47838756677994,0.026796078212549278,-849016.9999999703,62892566.99999997,2010-10-25,25,0,298,43,0,0,0,0,0,0,0,2010,10,46.89,46.67,46.35,46.36,46.14899999999997,45.3525,43.14440000000007,1185.62,1183.08,1184.71,11164.05,11132.56,11143.69,169.95
2010-10-26,167.57,171.0,167.5,169.95,4689600,5.395058752911489,170.39211750582302,148.81188249417704,169.0,169.13,164.97,158.67,171.57,166.34399999999988,162.92900000000003,159.60200000000003,147.37759999999997,131.4786,167.0330975236124,167.0330975236124,167.0330975236124,167.0330975236124,167.0330975236124,5.437725104017829,4.919314084881212,4.746127876992838,32.064812433746205,1333.3333333333333,8.608128834355828,69.03876406856502,-9.907722195240506,90.09227780475949,0.017824625647830324,4455119.999999947,48068400.0,2010-10-26,26,1,299,43,0,0,0,0,0,0,0,2010,10,47.02,46.89,46.67,45.93,46.322999999999965,45.4725,43.27700000000007,1185.64,1185.62,1165.9,11169.46,11164.05,10978.62,167.51
2010-10-27,168.91,169.75,166.54,167.51,5721800,5.6733862532834625,171.37477250656696,148.68122749343308,169.95,169.0,169.13,158.67,167.57,168.1119999999999,164.163,160.02800000000002,148.1506,131.6794,167.1920650157416,167.1920650157416,167.1920650157416,167.1920650157416,167.1920650157416,5.383297075949173,5.012110683094805,4.65069017149335,32.22638352303857,1333.3333333333335,7.95256815106013,64.30283068404968,-21.75813501699863,78.24186498300138,0.021427066612505874,-13961191.999999987,48749735.999999896,2010-10-27,27,2,300,43,0,0,0,0,0,0,0,2010,10,47.16,47.02,46.89,46.26,46.47299999999997,45.6035,43.40200000000007,1182.45,1185.64,1178.17,11126.28,11169.46,11107.97,166.84
2010-10-28,168.31,168.49,165.05,166.84,4684400,5.823594567293375,172.16418913458676,148.86981086541329,167.51,169.95,169.0,164.97,168.91,168.4859999999999,165.294,160.51700000000002,148.89440000000002,131.86804999999998,167.0747100104944,167.0747100104944,167.0747100104944,167.0747100104944,167.0747100104944,5.22585862574212,5.054860271624268,4.564212302100968,31.89458408724703,1333.3333333333333,7.271908956471422,63.02436026838533,-25.01214181641576,74.98785818358425,0.014686405993403746,-3138547.9999999413,45813432.00000001,2010-10-28,28,3,301,43,0,0,0,0,0,0,0,2010,10,47.26,47.16,47.02,46.35,46.642999999999965,45.7495,43.525800000000075,1183.78,1182.45,1180.26,11113.95,11126.28,11146.57,165.23
2010-10-29,165.8,168.5,164.81,165.23,4998500,5.6829033535961315,172.45880670719228,149.72719329280775,166.84,167.51,169.95,169.13,168.31,167.7059999999999,165.353,161.09300000000002,149.6476,132.05745,166.45980667366294,166.45980667366294,166.45980667366294,166.45980667366294,166.45980667366294,4.914522419730986,5.026792701245611,4.5017685662366125,31.50778719913376,1333.3333333333333,0.35835762876579413,59.94035130295284,-32.831471588149675,67.16852841185033,0.007749423304661786,-8047585.000000068,57582719.99999991,2010-10-29,29,4,302,43,0,0,0,0,0,0,0,2010,10,47.16,47.26,47.16,46.67,46.705999999999975,45.892999999999994,43.660000000000075,1183.26,1183.78,1183.08,11118.49,11113.95,11132.56,162.58
2010-11-01,164.45,164.58,161.52,162.58,5239900,5.5284649768266005,172.50942995365324,150.39557004634685,165.23,166.84,167.51,169.0,165.8,166.4219999999999,165.25500000000002,161.45250000000004,150.344,132.23465,165.16653778244196,165.16653778244196,165.16653778244196,165.16653778244196,165.16653778244196,4.4031960769048055,4.902073376377451,4.4452136686482815,30.127089215371264,1333.3333333333335,-0.5991685008559487,55.15618683540916,-51.87431091510468,48.12568908489532,0.008786271774364411,-13885734.99999988,37674881.000000134,2010-11-01,1,0,305,44,0,1,0,0,0,0,0,2010,11,47.19,47.16,47.26,46.89,46.78899999999997,46.062,43.793800000000076,1184.38,1183.26,1185.62,11124.62,11118.49,11164.05,164.61
2010-11-02,163.75,165.94,163.36,164.61,4260000,5.5708153754514935,172.78113075090303,150.49786924909708,162.58,165.23,166.84,169.95,164.45,165.3539999999999,165.84900000000002,161.63950000000006,151.1042,132.41965,164.98102518829467,164.98102518829467,164.98102518829467,164.98102518829467,164.98102518829467,4.114342719113296,4.74452724492462,4.367698406601975,29.14564319859273,1333.3333333333335,3.7436188315371695,57.926508619780805,-41.55405405405398,58.44594594594602,0.0115019986448523,8647800.000000006,15932400.00000004,2010-11-02,2,1,306,44,0,0,0,0,0,0,0,2010,11,47.7,47.19,47.16,47.02,46.96599999999998,46.203,43.94580000000007,1193.57,1184.38,1185.64,11188.72,11124.62,11169.46,168.47
2010-11-03,165.4,168.61,162.29,168.47,6112100,5.566955229415278,173.4269104588306,151.15908954116946,164.61,162.58,165.23,167.51,163.75,165.5459999999999,166.829,162.29300000000003,151.983,132.6331,166.14401679219645,166.14401679219645,166.14401679219645,166.14401679219645,166.14401679219645,4.149066239714131,4.625435043882522,4.507148520416122,28.7837734500181,1333.3333333333333,6.176340833175781,62.65126605715544,-22.827496757457887,77.1725032425421,0.016311927429236657,23592705.99999991,79885146.99999996,2010-11-03,3,2,307,44,0,0,0,0,0,0,0,2010,11,47.91,47.7,47.19,47.16,47.130999999999986,46.374,44.11700000000007,1197.96,1193.57,1182.45,11215.13,11188.72,11126.28,168.93
2010-11-04,169.86,172.53,168.4,168.93,7395900,5.56581804646128,174.05763609292256,151.79436390707747,168.47,164.61,162.58,166.84,165.4,165.9639999999999,167.22500000000002,162.92600000000002,152.8246,132.84465000000003,167.0726778614643,167.0726778614643,167.0726778614643,167.0726778614643,167.0726778614643,4.1656836277664695,4.533484760659311,4.4802093403863985,29.136417397363648,1333.3333333333335,2.400436442989639,63.181890992162025,-22.556390977443563,77.44360902255643,0.016045989309784698,3402114.0000000587,93632093.99999997,2010-11-04,4,3,308,44,0,0,0,0,0,0,0,2010,11,48.5,47.91,47.7,47.26,47.34599999999998,46.566500000000005,44.29240000000007,1221.06,1197.96,1183.78,11434.84,11215.13,11113.95,170.77
2010-11-05,169.35,171.65,168.59,170.77,5212200,5.544693147980452,174.77638629596092,152.5976137040391,168.93,168.47,164.61,165.23,169.86,167.07199999999992,167.38900000000004,163.687,153.74280000000002,133.09135000000003,168.30511857430957,168.30511857430957,168.30511857430957,168.30511857430957,168.30511857430957,4.278011397576535,4.482390088042756,4.378765816073084,29.463872491327372,1333.3333333333333,0.9696683024892183,65.30523515578203,-11.027568922305703,88.9724310776943,0.014700167232511026,9590448.000000019,79329684.0,2010-11-05,5,4,309,44,0,0,0,0,0,0,0,2010,11,48.5,48.5,47.91,47.16,47.52899999999998,46.7435,44.47720000000007,1225.85,1221.06,1183.26,11444.08,11434.84,11118.49,171.99
2010-11-08,170.84,173.2,168.78,171.99,5706000,5.239138639529278,175.11327727905856,154.15672272094147,170.77,168.93,168.47,162.58,169.35,168.9539999999999,167.68800000000005,164.63500000000002,154.6498,133.34975000000003,169.53341238287305,169.53341238287305,169.53341238287305,169.53341238287305,169.53341238287305,4.414587155717413,4.468829501577687,4.381711114925006,30.02846872535014,1333.3333333333333,1.7692307692307747,66.6774552190453,-7.276007215874804,92.7239927841252,0.007744042094015146,6961319.9999999935,108185760.00000004,2010-11-08,8,0,312,45,0,0,0,0,0,0,0,2010,11,48.56,48.5,48.5,47.19,47.695999999999984,46.9225,44.65380000000007,1223.25,1225.85,1184.38,11406.84,11444.08,11124.62,170.27
2010-11-09,172.67,173.14,169.06,170.27,3978600,5.011901073287378,175.34830214657475,155.30069785342525,171.99,170.77,168.93,164.61,170.84,170.0859999999999,167.72000000000003,165.3245,155.5794,133.60370000000003,169.77894158858206,169.77894158858206,169.77894158858206,169.77894158858206,169.77894158858206,4.33407429208745,4.44187845967964,4.36016032100179,30.552736656942717,1333.3333333333335,0.18829067372757965,62.900291788482534,-24.601175482787397,75.3988245172126,0.012174526431708684,-6843191.999999995,54864894.00000008,2010-11-09,9,1,313,45,0,0,0,0,0,0,0,2010,11,48.3,48.56,48.5,47.7,47.82399999999998,47.0735,44.83340000000007,1213.4,1223.25,1193.57,11346.75,11406.84,11188.72,173.33
2010-11-10,170.59,173.37,169.41,173.33,5440300,4.71140148441697,175.65530296883395,156.80969703116608,170.27,171.99,170.77,168.47,172.67,171.0579999999999,168.30200000000002,166.23250000000002,156.5494,133.85660000000004,170.9626277257214,170.9626277257214,170.9626277257214,170.9626277257214,170.9626277257214,4.465705817253877,4.446643931194488,4.331577440930234,31.08152778383549,1333.3333333333335,3.474419437645527,66.53262795187612,-0.3375527426159668,99.66244725738403,0.010427691885871579,16647318.000000013,98795848.00000013,2010-11-10,10,2,314,45,0,0,0,0,0,0,0,2010,11,48.55,48.3,48.56,47.91,47.96299999999998,47.218,45.02080000000007,1218.71,1213.4,1197.96,11357.04,11346.75,11215.13,170.37
2010-11-11,171.0,172.05,169.42,170.37,5691700,4.060806861747914,175.09611372349582,158.85288627650414,173.33,170.27,171.99,168.93,170.59,171.34599999999986,168.65500000000003,166.97449999999998,157.30700000000002,134.07830000000004,170.76508515048096,170.76508515048096,170.76508515048096,170.76508515048096,170.76508515048096,4.281819339053726,4.413679012766336,4.301464766578076,31.572548115950205,1333.3333333333335,2.115799568448814,60.37481720229749,-25.316455696202546,74.68354430379746,0.01473384654810887,-16847432.000000045,84464828.00000001,2010-11-11,11,3,315,45,0,0,0,0,0,0,0,2010,11,48.24,48.55,48.3,48.5,48.06099999999998,47.352,45.17840000000007,1213.54,1218.71,1221.06,11283.1,11357.04,11434.84,165.68
