Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2015-10-16,96.18,97.59,95.35,97.54,25412900,2.4461855913582418,97.85887118271643,88.07412881728345,95.96,94.07,94.12,93.24,94.99,95.19000000000005,94.08699999999996,92.96649999999994,91.83699999999999,84.60084999999998,95.4776675618539,95.4776675618539,95.4776675618539,95.4776675618539,95.4776675618539,1.062871505835048,0.5843167060312408,2.442920383308561,11.336243319491228,1333.3333333333335,5.941131747583375,64.43238524198051,-0.42122999157537605,99.57877000842463,0.009788378990688124,40152382.00000032,79796506.00000001,2015-10-16,16,4,289,42,0,0,0,0,0,0,0,2015,10,103.5,103.07,101.4,101.98,101.78699999999989,100.10250000000008,100.81259999999999,2033.11,2023.86,2014.89,17215.97,17141.75,17084.49,98.47
2015-10-19,97.18,98.57,96.92,98.47,23729900,2.684069720249112,98.48063944049817,87.74436055950171,97.54,95.96,94.07,94.26,96.18,96.03200000000007,94.53299999999997,93.11249999999994,91.92039999999999,84.70094999999998,96.47511170790261,96.47511170790261,96.47511170790261,96.47511170790261,96.47511170790261,1.333843667236522,0.734222098272297,2.3862832130722347,12.008036918556215,1333.3333333333335,4.744176151473241,66.40805085994612,-0.9469696969696443,99.05303030303035,0.009742282313988273,22068806.999999825,69291308.00000004,2015-10-19,19,0,292,43,0,0,0,0,0,0,0,2015,10,104.09,103.5,103.07,102.23,102.0969999999999,100.24900000000008,100.78759999999998,2033.66,2033.11,2017.46,17230.54,17215.97,17131.86,97.0
2015-10-20,98.73,99.59,96.56,97.0,30881800,2.820542081157308,98.95558416231455,87.67341583768533,98.47,97.54,95.96,94.12,97.18,96.60800000000006,94.95299999999997,93.31449999999994,91.9774,84.79999999999998,96.65007447193508,96.65007447193508,96.65007447193508,96.65007447193508,96.65007447193508,1.4136783387933889,0.8701133463765154,2.432262983567075,13.010564394124582,1333.3333333333333,4.5258620689655205,60.67135935908529,-23.063223508459505,76.9367764915405,0.01415235745544206,-45396245.99999996,124762472.0000002,2015-10-20,20,1,293,43,0,0,0,0,0,0,0,2015,10,103.56,104.09,103.5,101.56,102.40199999999989,100.44450000000009,100.728,2030.77,2033.66,2003.69,17217.11,17230.54,17081.89,97.11
2015-10-21,97.37,98.18,96.47,97.11,21917800,2.943653789354176,99.35880757870828,87.58419242129159,97.0,98.47,97.54,94.07,98.73,97.21600000000007,95.42399999999996,93.47149999999993,92.04719999999999,84.90479999999998,96.80338298129007,96.80338298129007,96.80338298129007,96.80338298129007,96.80338298129007,1.4688915049556925,0.9898689780923509,2.380672770455142,13.884615033667961,1333.3333333333335,5.09740259740259,60.943251640964,-22.1033868092692,77.8966131907308,0.01397499832052772,2410957.9999999874,68821892.00000001,2015-10-21,21,2,294,43,0,0,0,0,0,0,0,2015,10,102.92,103.56,104.09,101.4,102.5829999999999,100.60400000000008,100.68279999999999,2018.94,2030.77,1994.24,17168.61,17217.11,16924.75,99.67
2015-10-22,97.79,99.73,97.55,99.67,26392100,3.25086300282835,100.23622600565665,87.23277399434323,97.11,97.0,98.47,95.96,97.37,97.95800000000007,96.14399999999996,93.73449999999994,92.1568,85.02239999999996,97.75892198752672,97.75892198752672,97.75892198752672,97.75892198752672,97.75892198752672,1.6996267034594155,1.1318205231657639,2.3977675725654892,15.256164565962509,1333.3333333333335,7.786309073212936,66.71116246254243,-0.6479481641468924,99.3520518358531,0.015681318539624876,67563776.00000006,138822446.00000015,2015-10-22,22,3,295,43,0,0,0,0,0,0,0,2015,10,105.02,102.92,103.56,103.07,102.93299999999991,100.88700000000009,100.6724,2052.51,2018.94,2023.86,17489.16,17168.61,17141.75,102.19
2015-10-23,101.91,102.85,100.16,102.19,42809700,3.7481398544373055,101.70177970887455,86.70922029112533,99.67,97.11,97.0,97.54,97.79,98.88800000000006,97.03899999999996,94.20549999999994,92.332,85.14244999999995,99.23594799168448,99.23594799168448,99.23594799168448,99.23594799168448,99.23594799168448,2.062058819626614,1.317868182457934,2.4536413173822393,17.415007158856444,1333.3333333333333,9.598884598884602,71.21725335139122,-5.331179321486243,94.66882067851375,0.017321765262886788,107880443.99999984,403267374.00000006,2015-10-23,23,4,296,43,0,0,0,0,0,0,0,2015,10,107.96,105.02,102.92,103.5,103.5309999999999,101.35900000000008,100.7242,2075.15,2052.51,2033.11,17646.7,17489.16,17215.97,103.77
2015-10-26,102.2,103.81,101.55,103.77,25961200,4.122131889664584,103.17776377932911,86.68923622067076,102.19,99.67,97.11,98.47,101.91,99.94800000000006,97.98999999999997,94.93349999999994,92.51899999999999,85.27259999999995,100.74729866112298,100.74729866112298,100.74729866112298,100.74729866112298,100.74729866112298,2.4485562460296677,1.5440057951722808,2.43980979471208,19.644834713500444,1333.3333333333335,10.089115213239964,73.62766456042536,-0.2998500749625655,99.70014992503742,0.017528243611459684,41018695.999999955,377995072.00000006,2015-10-26,26,0,299,44,0,0,0,0,0,0,0,2015,10,108.03,107.96,105.02,104.09,104.1109999999999,101.97450000000009,100.77420000000001,2071.18,2075.15,2033.66,17623.05,17646.7,17230.54,103.7
2015-10-27,102.94,104.1,102.4,103.7,23795500,4.084067245180734,103.9531344903614,87.61686550963847,103.77,102.19,99.67,97.0,102.2,101.28800000000008,98.94799999999996,95.78499999999994,92.71439999999998,85.40749999999994,101.73153244074867,101.73153244074867,101.73153244074867,101.73153244074867,101.73153244074867,2.71787979952461,1.7787805960427465,2.386966237946931,21.783136523910706,1333.3333333333335,10.178495537611559,73.33464693459909,-2.934702861335228,97.06529713866477,0.01286427975240522,-1665684.9999998377,405237365.0,2015-10-27,27,1,300,44,0,0,0,0,0,0,0,2015,10,108.25,108.03,107.96,103.56,104.7799999999999,102.62600000000009,100.811,2065.89,2071.18,2030.77,17581.43,17623.05,17217.11,104.2
2015-10-28,103.9,104.48,102.92,104.2,24081500,4.248015016327935,104.9960300326558,88.00396996734406,103.7,103.77,102.19,97.11,102.94,102.70600000000009,99.96099999999997,96.49999999999993,92.89499999999998,85.54624999999994,102.55435496049913,102.55435496049913,102.55435496049913,102.55435496049913,102.55435496049913,2.9378013323252077,2.0105847432992388,2.327897220950722,23.86015583832011,1333.3333333333335,10.768576591899661,74.1267122330737,-2.2875816993464126,97.7124183006536,0.012057557098397844,12040750.0,344365449.99999994,2015-10-28,28,2,301,44,0,0,0,0,0,0,0,2015,10,109.15,108.25,108.03,102.92,105.55499999999991,103.21300000000011,100.8768,2090.35,2065.89,2018.94,17779.52,17581.43,17168.61,104.88
2015-10-29,103.96,105.12,103.52,104.88,20316700,4.428298087004609,106.05309617400914,88.33990382599072,104.2,103.7,103.77,99.67,103.9,103.74800000000009,100.85299999999998,97.19649999999993,93.08639999999997,85.68924999999996,103.32956997366608,103.32956997366608,103.32956997366608,103.32956997366608,103.32956997366608,3.130870324321961,2.2346418595037836,2.275904562311385,25.943361101650993,1333.3333333333335,9.295539808253443,75.20539665068388,-1.9277108433735666,98.07228915662644,0.010196074552591212,13815355.99999985,283011630.9999998,2015-10-29,29,3,302,44,0,0,0,0,0,0,0,2015,10,108.97,109.15,108.25,105.02,106.14499999999991,103.76900000000009,100.95280000000001,2089.41,2090.35,2052.51,17755.8,17779.52,17489.16,101.97
